DATE,PURPOSE,SOURCE,TIME POINT,CONTENTS,TUBE NUMBER,STORAGE,FREEZER BOX #,FREEZER BOX ROW #,SHIPPED TO,SHIPPING DATE
20180613,20180612 Montipora Spawning,Conical 5,1:06 AM,Cleaving Eggs,55,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 6,1:07 AM,Cleaving Eggs,56,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 7,1:08 AM,Cleaving Eggs,57,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 8,1:09 AM,Cleaving Eggs,58,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 9,1:10 AM,Cleaving Eggs,59,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 1,7:35 AM,Blastula,60,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 2,7:35 AM,Blastula,61,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 3,7:35 AM,Blastula,62,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 4,7:40 AM,Blastula,63,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 5,7:40 AM,Blastula,64,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 6,7:40 AM,Blastula,65,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 7,7:45 AM,Blastula,66,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 8,7:45 AM,Blastula,68,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 9,7:50 AM,Blastula,67,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 1,7:55 AM,Blastula,69,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 2,7:56 AM,Blastula,70,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 3,7:56 AM,Blastula,71,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 4,7:57 AM,Blastula,72,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 5,7:57 AM,Blastula,73,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 6,7:57 AM,Blastula,74,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 7,7:58 AM,Blastula,75,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 8,7:58 AM,Blastula,76,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 9,7:58 AM,Blastula,77,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 1,12:11 PM,Gastrula,78,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 2,12:14 PM,Gastrula,79,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 3,12:19 PM,Gastrula,80,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 4,12:24 PM,Gastrula,81,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 5,12:28 PM,Gastrula,82,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 6,12:32 PM,Gastrula,83,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 7,12:37 PM,Gastrula,84,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 8,12:42 PM,Gastrula,85,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 9,12:45 PM,Gastrula,86,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Conical 1,12:02 PM,Gastrula,87,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 2,12:05 PM,Gastrula,88,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 3,12:11 PM,Gastrula,89,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 4,12:16 PM,Gastrula,90,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 5,12:20 PM,Gastrula,91,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 6,12:24 PM,Gastrula,92,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 7,12:33 PM,Gastrula,93,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 8,12:37 PM,Gastrula,94,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Conical 9,12:42 PM,Gastrula,95,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Tank10,19:58,Gastrula,107,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Tank11,20:00,Gastrula,97,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Tank12,20:03,Gastrula,105,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Tank13,20:05,Gastrula,106,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Tank14,20:06,Gastrula,49,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Tank15,20:08,Gastrula,?????????,"Zfix, -20C",,,,
20180613,20180612 Montipora Spawning,Tank10,19:45,Gastrula,104,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Tank11,19:47,Gastrula,110,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Tank12,19:50,Gastrula,108,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Tank13,19:52,Gastrula,100,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Tank14,19:54,Gastrula,96,"Snap frozen, -80C",,,,
20180613,20180612 Montipora Spawning,Tank15,19:56,Gastrula,98,"Snap frozen, -80C",,,,
20180613,20180613 Montipora Spawning,Collection falcon tube,Bundle ,Egg/sperm bundles,102,?????,,,,
20180613,20180613 Montipora Spawning,Collection falcon tube,Bundle ,Egg/sperm bundles,101,?????,,,,
20180613,20180613 Montipora Spawning,Collection falcon tube,Bundle ,Egg/sperm bundles,112,?????,,,,
20180613,20180613 Montipora Spawning,Collection falcon tube,Bundle ,Egg/sperm bundles,111,?????,,,,
20180613,20180613 Montipora Spawning,Collection falcon tube,Bundle ,Egg/sperm bundles,118,?????,,,,
20180613,20180613 Montipora Spawning,Collection falcon tube,Eggs,Only eggs,119,"Snap frozen, -80C",,,,
20180613,20180613 Montipora Spawning,Collection falcon tube,Eggs,Only eggs,120,"Snap frozen, -80C",,,,
20180613,20180613 Montipora Spawning,Collection falcon tube,Eggs,Only eggs,121,"Snap frozen, -80C",,,,
20180613,20180613 Montipora Spawning,Collection falcon tube,Eggs,Only eggs,122,"Snap frozen, -80C",,,,
20180613,20180613 Montipora Spawning,Collection falcon tube,Eggs,Only eggs,123,"Snap frozen, -80C",,,,
20180613,20180613 Montipora Spawning,Collection falcon tube,Eggs,Only eggs,124,"Zfix, -20C",,,,
20180613,20180613 Montipora Spawning,Collection falcon tube,Eggs,Only eggs,125,"Zfix, -20C",,,,
20180613,20180613 Montipora Spawning,Conical 1,Fertilized Eggs,Fertilized Eggs,126,"Snap frozen, -80C",,,,
20180613,20180613 Montipora Spawning,Conical 2,Fertilized Eggs,Fertilized Eggs,127,"Snap frozen, -80C",,,,
20180613,20180613 Montipora Spawning,Conical 3,Fertilized Eggs,Fertilized Eggs,128,"Snap frozen, -80C",,,,
20180613,20180613 Montipora Spawning,Conical 4,Fertilized Eggs,Fertilized Eggs,129,"Snap frozen, -80C",,,,
20180613,20180613 Montipora Spawning,Conical 5,Fertilized Eggs,Fertilized Eggs,130,"Snap frozen, -80C",,,,
20180613,20180613 Montipora Spawning,Conical 6,Fertilized Eggs,Fertilized Eggs,131,"Snap frozen, -80C",,,,
20180613,20180613 Montipora Spawning,Conical 7,Fertilized Eggs,Fertilized Eggs,132,"Snap frozen, -80C",,,,
20180613,20180613 Montipora Spawning,Conical 8,Fertilized Eggs,Fertilized Eggs,133,"Snap frozen, -80C",,,,
20180613,20180613 Montipora Spawning,Conical 9,Fertilized Eggs,Fertilized Eggs,134,"Snap frozen, -80C",,,,
20180613,20180613 Montipora Spawning,Conical 1,Fertilized Eggs,Fertilized Eggs,135,"Zfix, -20C",,,,
20180613,20180613 Montipora Spawning,Conical 2,Fertilized Eggs,Fertilized Eggs,136,"Zfix, -20C",,,,
20180613,20180613 Montipora Spawning,Conical 3,Fertilized Eggs,Fertilized Eggs,137,"Zfix, -20C",,,,
20180613,20180613 Montipora Spawning,Conical 4,Fertilized Eggs,Fertilized Eggs,138,"Zfix, -20C",,,,
20180613,20180613 Montipora Spawning,Conical 5,Fertilized Eggs,Fertilized Eggs,139,"Zfix, -20C",,,,
20180613,20180613 Montipora Spawning,Conical 6,Fertilized Eggs,Fertilized Eggs,140,"Zfix, -20C",,,,
20180613,20180613 Montipora Spawning,Conical 7,Fertilized Eggs,Fertilized Eggs,141,"Zfix, -20C",,,,
20180613,20180613 Montipora Spawning,Conical 8,Fertilized Eggs,Fertilized Eggs,142,"Zfix, -20C",,,,
20180613,20180613 Montipora Spawning,Conical 9,Fertilized Eggs,Fertilized Eggs,143,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 1,2:04,Cleaving Eggs,144,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 2,2:05,Cleaving Eggs,145,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 3,2:06,Cleaving Eggs,146,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 4,2:07,Cleaving Eggs,147,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 5,2:08,Cleaving Eggs,148,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 6,2:09,Cleaving Eggs,149,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 7,2:09,Cleaving Eggs,150,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 8,2:10,Cleaving Eggs,151,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 9,2:11,Cleaving Eggs,152,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 1,2:02,Cleaving Eggs,153,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 2,2:04,Cleaving Eggs,154,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 3,2:07,Cleaving Eggs,155,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 4,2:08,Cleaving Eggs,156,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 5,2:09,Cleaving Eggs,157,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 6,2:09,Cleaving Eggs,158,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 7,2:10,Cleaving Eggs,159,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 8,2:11,Cleaving Eggs,160,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 9,2:12,Cleaving Eggs,161,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 1,7:10 AM,Blastula,162,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 2,7:12 AM,Blastula,163,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 3,7:13 AM,Blastula,164,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 4,not sampled,Blastula,not sampled,not sampled,,,,
20180614,20180613 Montipora Spawning,Conical 5,7:16 AM,Blastula,165,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 6,7:17 AM,Blastula,166,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 7,7:18 AM,Blastula,167,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 8,7:19 AM,Blastula,168,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 9,7:20 AM,Blastula,169,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 1,7:21 AM,Blastula,170,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 2,7:21 AM,Blastula,171,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 3,7:22 AM,Blastula,172,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 4,not sampled,Blastula,not sampled,not sampled,,,,
20180614,20180613 Montipora Spawning,Conical 5,7:23 AM,Blastula,174,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 6,7:24 AM,Blastula,175,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 7,7:24 AM,Blastula,176,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 8,7:25 AM,Blastula,177,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 9,7:26 AM,Blastula,178,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 1,12:04,Gastrula,179,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 2,12:07,Gastrula,180,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 3,12:08,Gastrula,181,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 4,not sampled,Gastrula,not sampled,not sampled,,,,
20180614,20180613 Montipora Spawning,Conical 5,12:10,Gastrula,182,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 6,12:12,Gastrula,183,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 7,12:15,Gastrula,184,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 8,12:17,Gastrula,185,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 9,12:18,Gastrula,186,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,Conical 1,12:01,Gastrula,187,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 2,12:02,Gastrula,188,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 3,12:04,Gastrula,189,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 4,not sampled,Gastrula,not sampled,not sampled,,,,
20180614,20180613 Montipora Spawning,Conical 5,12:05,Gastrula,190,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 6,12:06,Gastrula,191,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 7,12:07,Gastrula,192,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 8,12:08,Gastrula,193,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,Conical 9,12:11,Gastrula,173,"Zfix, -20C",,,,
20180614,20180612 Montipora Spawning,"Tank 10, Mont. Bin 1",12:09,Swimming larvae,195,"Snap frozen, -80C",,,,
20180614,20180612 Montipora Spawning,"Tank 11, Mont. Bin 4",12:11,Swimming larvae,194,"Snap frozen, -80C",,,,
20180614,20180612 Montipora Spawning,"Tank 12, Mont. Bin 6",12:14,Swimming larvae,196,"Snap frozen, -80C",,,,
20180614,20180612 Montipora Spawning,"Tank 13, Mont. Bin 2",12:15,Swimming larvae,197,"Snap frozen, -80C",,,,
20180614,20180612 Montipora Spawning,"Tank 14, Mont. Bin 5",12:16,Swimming larvae,198,"Snap frozen, -80C",,,,
20180614,20180612 Montipora Spawning,"Tank 15, Mont. Bin 8",12:17,Swimming larvae,199,"Snap frozen, -80C",,,,
20180614,20180612 Montipora Spawning,"Tank 10, Mont. Bin 1",12:09,Swimming larvae,201,"Zfix, -20C",,,,
20180614,20180612 Montipora Spawning,"Tank 11, Mont. Bin 4",12:11,Swimming larvae,200,"Zfix, -20C",,,,
20180614,20180612 Montipora Spawning,"Tank 12, Mont. Bin 6",12:14,Swimming larvae,203,"Zfix, -20C",,,,
20180614,20180612 Montipora Spawning,"Tank 13, Mont. Bin 2",12:15,Swimming larvae,202,"Zfix, -20C",,,,
20180614,20180612 Montipora Spawning,"Tank 14, Mont. Bin 5",12:16,Swimming larvae,204,"Zfix, -20C",,,,
20180614,20180612 Montipora Spawning,"Tank 15, Mont. Bin 8",12:17,Swimming larvae,205,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,"Tank 10, Mont. Bin 1 6/13",20:00,Gastrula,212,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,"Tank 11, Mont. Bin 9 6/13",20:02,Gastrula,213,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,"Tank 12, Mont. Bin 6 6/13",20:04,Gastrula,214,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,"Tank 13, Mont. Bin 2 6/13",20:05,Gastrula,215,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,"Tank 14, Mont. Bin 5 6/13",20:08,Gastrula,216,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,"Tank 15, Mont. Bin 8 6/13",20:10,Gastrula,217,"Snap frozen, -80C",,,,
20180614,20180613 Montipora Spawning,"Tank 10, Mont. Bin 1 6/13",20:00,Gastrula,206,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,"Tank 11, Mont. Bin 9 6/13",20:02,Gastrula,207,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,"Tank 12, Mont. Bin 6 6/13",20:04,Gastrula,208,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,"Tank 13, Mont. Bin 2 6/13",20:05,Gastrula,209,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,"Tank 14, Mont. Bin 5 6/13",20:08,Gastrula,210,"Zfix, -20C",,,,
20180614,20180613 Montipora Spawning,"Tank 15, Mont. Bin 8 6/13",20:10,Gastrula,211,"Zfix, -20C",,,,
20180615,20180613 Montipora Spawning,"Tank 10, Mont. Bin 1 6/13",12:00,Swimming larvae,218,"Snap frozen, -80C",,,,
20180615,20180613 Montipora Spawning,"Tank 11, Mont. Bin 9 6/13",12:01,Swimming larvae,219,"Snap frozen, -80C",,,,
20180615,20180613 Montipora Spawning,"Tank 12, Mont. Bin 6 6/13",12:02,Swimming larvae,220,"Snap frozen, -80C",,,,
20180615,20180613 Montipora Spawning,"Tank 13, Mont. Bin 2 6/13",12:04,Swimming larvae,221,"Snap frozen, -80C",,,,
20180615,20180613 Montipora Spawning,"Tank 14, Mont. Bin 5 6/13",12:05,Swimming larvae,222,"Snap frozen, -80C",,,,
20180615,20180613 Montipora Spawning,"Tank 15, Mont. Bin 8 6/13",12:06,Swimming larvae,223,"Snap frozen, -80C",,,,
20180615,20180613 Montipora Spawning,"Tank 10, Mont. Bin 1 6/13",12:00,Swimming larvae,224,"Zfix, -20C",,,,
20180615,20180613 Montipora Spawning,"Tank 11, Mont. Bin 9 6/13",12:01,Swimming larvae,225,"Zfix, -20C",,,,
20180615,20180613 Montipora Spawning,"Tank 12, Mont. Bin 6 6/13",12:02,Swimming larvae,226,"Zfix, -20C",,,,
20180615,20180613 Montipora Spawning,"Tank 13, Mont. Bin 2 6/13",12:04,Swimming larvae,227,"Zfix, -20C",,,,
20180615,20180613 Montipora Spawning,"Tank 14, Mont. Bin 5 6/13",12:05,Swimming larvae,228,"Zfix, -20C",,,,
20180615,20180613 Montipora Spawning,"Tank 15, Mont. Bin 8 6/13",12:06,Swimming larvae,229,"Zfix, -20C",,,,
20180616,20180613 Montipora Spawning,"Tank 10, Mont. Bin 1 6/13",12:11,Swimming larvae,230,"Snap frozen, -80C",,,,
20180616,20180613 Montipora Spawning,"Tank 11, Mont. Bin 9 6/13",12:13,Swimming larvae,231,"Snap frozen, -80C",,,,
20180616,20180613 Montipora Spawning,"Tank 12, Mont. Bin 6 6/13",12:17,Swimming larvae,232,"Snap frozen, -80C",,,,
20180616,20180613 Montipora Spawning,"Tank 13, Mont. Bin 2 6/13",12:20,Swimming larvae,233,"Snap frozen, -80C",,,,
20180616,20180613 Montipora Spawning,"Tank 14, Mont. Bin 5 6/13",12:22,Swimming larvae,234,"Snap frozen, -80C",,,,
20180616,20180613 Montipora Spawning,"Tank 15, Mont. Bin 8 6/13",12:24,Swimming larvae,235,"Snap frozen, -80C",,,,
20180616,20180613 Montipora Spawning,"Tank 10, Mont. Bin 1 6/13",12:11,Swimming larvae,236,"Zfix, -20C",,,,
20180616,20180613 Montipora Spawning,"Tank 11, Mont. Bin 9 6/13",12:13,Swimming larvae,237,"Zfix, -20C",,,,
20180616,20180613 Montipora Spawning,"Tank 12, Mont. Bin 6 6/13",12:17,Swimming larvae,238,"Zfix, -20C",,,,
20180616,20180613 Montipora Spawning,"Tank 13, Mont. Bin 2 6/13",12:20,Swimming larvae,239,"Zfix, -20C",,,,
20180616,20180613 Montipora Spawning,"Tank 14, Mont. Bin 5 6/13",12:22,Swimming larvae,240,"Zfix, -20C",,,,
20180616,20180613 Montipora Spawning,"Tank 15, Mont. Bin 8 6/13",12:24,Swimming larvae,241,"Zfix, -20C",,,,
20180617,20180613 Montipora Spawning,"Tank 10, Mont. Bin 1 6/13",12:00,Swimming larvae,242,"Snap frozen, -80C",,,,
20180617,20180613 Montipora Spawning,"Tank 11, Mont. Bin 9 6/13",12:02,Swimming larvae,243,"Snap frozen, -80C",,,,
20180617,20180613 Montipora Spawning,"Tank 12, Mont. Bin 6 6/13",12:03,Swimming larvae,244,"Snap frozen, -80C",,,,
20180617,20180613 Montipora Spawning,"Tank 13, Mont. Bin 2 6/13",12:04,Swimming larvae,245,"Snap frozen, -80C",,,,
20180617,20180613 Montipora Spawning,"Tank 14, Mont. Bin 5 6/13",12:05,Swimming larvae,246,"Snap frozen, -80C",,,,
20180617,20180613 Montipora Spawning,"Tank 15, Mont. Bin 8 6/13",12:06,Swimming larvae,247,"Snap frozen, -80C",,,,
20180617,20180613 Montipora Spawning,"Tank 10, Mont. Bin 1 6/13",12:00,Swimming larvae,248,"Zfix, -20C",,,,
20180617,20180613 Montipora Spawning,"Tank 11, Mont. Bin 9 6/13",12:02,Swimming larvae,249,"Zfix, -20C",,,,
20180617,20180613 Montipora Spawning,"Tank 12, Mont. Bin 6 6/13",12:03,Swimming larvae,250,"Zfix, -20C",,,,
20180617,20180613 Montipora Spawning,"Tank 13, Mont. Bin 2 6/13",12:04,Swimming larvae,251,"Zfix, -20C",,,,
20180617,20180613 Montipora Spawning,"Tank 14, Mont. Bin 5 6/13",12:05,Swimming larvae,252,"Zfix, -20C",,,,
20180617,20180613 Montipora Spawning,"Tank 15, Mont. Bin 8 6/13",12:06,Swimming larvae,253,"Zfix, -20C",,,,
20180617,Pocillopora Trial #1,"Tank 15, Bin1",14:00,21 larvae,259,"Snap frozen, -80C",,,,
20180617,Pocillopora Trial #1,"Tank 15, Bin2",14:00,4 larvae,260,"Snap frozen, -80C",,,,
20180617,Pocillopora Trial #1,"Tank 15, Bin2",14:00,1 settled larvae,261,"Snap frozen, -80C",,,,
20180617,Pocillopora Trial #1,"Tank 15, Bin 13",14:00,27 larvae,262,"Snap frozen, -80C",,,,
20180617,Pocillopora Trial #1,"Tank 15, Bin 13",14:00,2 settled larvae,263,"Snap frozen, -80C",,,,
20180617,Pocillopora Trial #1,"Tank 15, Bin 25",14:00,3 settled larvae,264,"Snap frozen, -80C",,,,
20180617,Pocillopora Trial #1,"Tank 15, Bin 25",14:00,12 larvae,254,"Snap frozen, -80C",,,,
20180617,Pocillopora Trial #1,"Tank 15, Bin 26",14:00,5 settled larvae,255,"Snap frozen, -80C",,,,
20180617,Pocillopora Trial #1,"Tank 15, Bin 26",14:00,17 larvae,256,"Snap frozen, -80C",,,,
20180617,Pocillopora Trial #1,"Tank 14, Bin 4",14:00,9 larvae,257,"Snap frozen, -80C",,,,
20180617,Pocillopora Trial #1,"Tank 14, Bin 3",14:00,28 larvae,258,"Snap frozen, -80C",,,,
